timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681289495273,802,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-38,text,true,,10990,215,75,75,https://jira-9.aandd.io/rest/api/2/issue/10301,801,0,0
1681289495273,802,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-38,text,true,,10990,215,75,75,https://jira-9.aandd.io/rest/api/2/issue/10301,801,0,0
1681289495159,917,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-60,text,true,,1690,220,74,74,https://jira-9.aandd.io/rest/api/2/attachment/10102,916,0,297
1681289495159,917,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-60,text,true,,1690,220,74,74,https://jira-9.aandd.io/rest/api/2/attachment/10102,916,0,297
1681289495257,821,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-70,text,true,,1683,220,74,74,https://jira-9.aandd.io/rest/api/2/attachment/10102,821,0,252
1681289495257,821,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-70,text,true,,1683,220,74,74,https://jira-9.aandd.io/rest/api/2/attachment/10102,821,0,252
1681289495277,809,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-39,text,true,,10990,215,74,74,https://jira-9.aandd.io/rest/api/2/issue/10301,809,0,0
1681289495277,809,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-39,text,true,,10990,215,74,74,https://jira-9.aandd.io/rest/api/2/issue/10301,809,0,0
1681289495137,951,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-58,text,true,,1684,220,73,73,https://jira-9.aandd.io/rest/api/2/attachment/10102,951,0,316
1681289495137,951,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-58,text,true,,1684,220,73,73,https://jira-9.aandd.io/rest/api/2/attachment/10102,951,0,316
1681289495271,824,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-22,text,true,,10991,215,73,73,https://jira-9.aandd.io/rest/api/2/issue/10301,823,0,0
1681289495271,824,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-22,text,true,,10991,215,73,73,https://jira-9.aandd.io/rest/api/2/issue/10301,823,0,0
1681289495166,930,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-61,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,929,0,293
1681289495166,930,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-61,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,929,0,293
1681289495489,608,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-94,text,true,,1689,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,608,0,176
1681289495489,608,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-94,text,true,,1689,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,608,0,176
1681289495319,781,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-77,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,781,0,259
1681289495319,781,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-77,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,781,0,259
1681289494873,1227,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-28,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,1227,0,180
1681289494873,1227,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-28,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,1227,0,180
1681289495275,826,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-72,text,true,,1684,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,826,0,231
1681289495275,826,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-72,text,true,,1684,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,826,0,231
1681289495341,762,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-79,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,762,0,244
1681289495341,762,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-79,text,true,,1683,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,762,0,244
1681289495367,736,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-82,text,true,,1689,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,736,0,183
1681289495367,736,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-82,text,true,,1689,220,72,72,https://jira-9.aandd.io/rest/api/2/attachment/10102,736,0,183
1681289495269,845,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-17,text,true,,10991,215,72,72,https://jira-9.aandd.io/rest/api/2/issue/10301,845,0,0
1681289495269,845,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-17,text,true,,10991,215,72,72,https://jira-9.aandd.io/rest/api/2/issue/10301,845,0,0
1681289495330,785,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-78,text,true,,1689,220,71,71,https://jira-9.aandd.io/rest/api/2/attachment/10102,785,0,202
1681289495330,785,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-78,text,true,,1689,220,71,71,https://jira-9.aandd.io/rest/api/2/attachment/10102,785,0,202
1681289495419,701,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-87,text,true,,1683,220,71,71,https://jira-9.aandd.io/rest/api/2/attachment/10102,701,0,113
1681289495419,701,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-87,text,true,,1683,220,71,71,https://jira-9.aandd.io/rest/api/2/attachment/10102,701,0,113
1681289495443,682,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-32,text,true,,10989,215,71,71,https://jira-9.aandd.io/rest/api/2/issue/10301,682,0,0
1681289495443,682,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-32,text,true,,10989,215,71,71,https://jira-9.aandd.io/rest/api/2/issue/10301,682,0,0
1681289495506,620,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-96,text,true,,1683,220,70,70,https://jira-9.aandd.io/rest/api/2/attachment/10102,620,0,131
1681289495506,620,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-96,text,true,,1683,220,70,70,https://jira-9.aandd.io/rest/api/2/attachment/10102,620,0,131
1681289495417,718,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-86,text,true,,1683,220,70,70,https://jira-9.aandd.io/rest/api/2/attachment/10102,718,0,152
1681289495417,718,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-86,text,true,,1683,220,70,70,https://jira-9.aandd.io/rest/api/2/attachment/10102,718,0,152
1681289495282,858,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-30,text,true,,10989,215,70,70,https://jira-9.aandd.io/rest/api/2/issue/10301,858,0,0
1681289495282,858,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-30,text,true,,10989,215,70,70,https://jira-9.aandd.io/rest/api/2/issue/10301,858,0,0
1681289495473,678,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-53,text,true,,10989,215,69,69,https://jira-9.aandd.io/rest/api/2/issue/10301,678,0,0
1681289495473,678,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-53,text,true,,10989,215,69,69,https://jira-9.aandd.io/rest/api/2/issue/10301,678,0,0
1681289495003,1149,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-43,text,true,,1684,220,68,68,https://jira-9.aandd.io/rest/api/2/attachment/10102,1149,0,149
1681289495003,1149,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-43,text,true,,1684,220,68,68,https://jira-9.aandd.io/rest/api/2/attachment/10102,1149,0,149
1681289495271,887,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-40,text,true,,10991,215,68,68,https://jira-9.aandd.io/rest/api/2/issue/10301,887,0,0
1681289495271,887,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-40,text,true,,10991,215,68,68,https://jira-9.aandd.io/rest/api/2/issue/10301,887,0,0
1681289495032,1130,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-47,text,true,,1683,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,1129,0,117
1681289495032,1130,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-47,text,true,,1683,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,1129,0,117
1681289495441,721,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-89,text,true,,1684,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,721,0,135
1681289495441,721,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-89,text,true,,1684,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,721,0,135
1681289495471,692,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-93,text,true,,1690,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,692,0,114
1681289495471,692,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-93,text,true,,1690,220,67,67,https://jira-9.aandd.io/rest/api/2/attachment/10102,692,0,114
1681289495268,901,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-16,text,true,,10990,215,67,67,https://jira-9.aandd.io/rest/api/2/issue/10301,901,0,0
1681289495268,901,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-16,text,true,,10990,215,67,67,https://jira-9.aandd.io/rest/api/2/issue/10301,901,0,0
1681289495480,709,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-57,text,true,,10989,215,66,66,https://jira-9.aandd.io/rest/api/2/issue/10301,709,0,0
1681289495480,709,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-57,text,true,,10989,215,66,66,https://jira-9.aandd.io/rest/api/2/issue/10301,709,0,0
1681289495290,906,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-46,text,true,,10990,215,65,65,https://jira-9.aandd.io/rest/api/2/issue/10301,906,0,0
1681289495290,906,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-46,text,true,,10990,215,65,65,https://jira-9.aandd.io/rest/api/2/issue/10301,906,0,0
1681289495447,754,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-15,text,true,,10992,215,64,64,https://jira-9.aandd.io/rest/api/2/issue/10301,754,0,0
1681289495447,754,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-15,text,true,,10992,215,64,64,https://jira-9.aandd.io/rest/api/2/issue/10301,754,0,0
1681289495288,928,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-48,text,true,,10991,215,63,63,https://jira-9.aandd.io/rest/api/2/issue/10301,927,0,0
1681289495288,928,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-48,text,true,,10991,215,63,63,https://jira-9.aandd.io/rest/api/2/issue/10301,927,0,0
1681289495514,704,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-97,text,true,,1689,220,62,62,https://jira-9.aandd.io/rest/api/2/attachment/10102,704,0,130
1681289495514,704,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-97,text,true,,1689,220,62,62,https://jira-9.aandd.io/rest/api/2/attachment/10102,704,0,130
1681289495305,913,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-75,text,true,,1683,220,62,62,https://jira-9.aandd.io/rest/api/2/attachment/10102,913,0,239
1681289495305,913,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-75,text,true,,1683,220,62,62,https://jira-9.aandd.io/rest/api/2/attachment/10102,913,0,239
1681289495477,751,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-54,text,true,,10975,215,62,62,https://jira-9.aandd.io/rest/api/2/issue/10301,750,0,0
1681289495477,751,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-54,text,true,,10975,215,62,62,https://jira-9.aandd.io/rest/api/2/issue/10301,750,0,0
1681289495398,830,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-85,text,true,,1683,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,830,0,149
1681289495398,830,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-85,text,true,,1683,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,830,0,149
1681289495453,776,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-91,text,true,,1683,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,776,0,102
1681289495453,776,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-91,text,true,,1683,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,776,0,102
1681289495377,854,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-83,text,true,,1684,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,854,0,183
1681289495377,854,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-83,text,true,,1684,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,854,0,183
1681289495388,844,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-84,text,true,,1690,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,843,0,198
1681289495388,844,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-84,text,true,,1690,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,843,0,198
1681289495362,870,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-81,text,true,,1689,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,870,0,214
1681289495362,870,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-81,text,true,,1689,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,870,0,214
1681289495464,769,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-92,text,true,,1689,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,769,0,99
1681289495464,769,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-92,text,true,,1689,220,61,61,https://jira-9.aandd.io/rest/api/2/attachment/10102,769,0,99
1681289495269,972,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-36,text,true,,10988,215,61,61,https://jira-9.aandd.io/rest/api/2/issue/10301,972,0,0
1681289495269,972,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-36,text,true,,10988,215,61,61,https://jira-9.aandd.io/rest/api/2/issue/10301,972,0,0
1681289495427,818,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-88,text,true,,1683,220,60,60,https://jira-9.aandd.io/rest/api/2/attachment/10102,818,0,117
1681289495427,818,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-88,text,true,,1683,220,60,60,https://jira-9.aandd.io/rest/api/2/attachment/10102,818,0,117
1681289495258,995,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-4,text,true,,10992,215,60,60,https://jira-9.aandd.io/rest/api/2/issue/10301,995,0,0
1681289495258,995,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-4,text,true,,10992,215,60,60,https://jira-9.aandd.io/rest/api/2/issue/10301,995,0,0
1681289495497,756,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-95,text,true,,1684,220,60,60,https://jira-9.aandd.io/rest/api/2/attachment/10102,756,0,137
1681289495497,756,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-95,text,true,,1684,220,60,60,https://jira-9.aandd.io/rest/api/2/attachment/10102,756,0,137
1681289495443,817,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-12,text,true,,10988,215,59,59,https://jira-9.aandd.io/rest/api/2/issue/10301,817,0,0
1681289495443,817,HTTP Request Get Issue,200,,Thread Group Login And View Detail 1-12,text,true,,10988,215,59,59,https://jira-9.aandd.io/rest/api/2/issue/10301,817,0,0
1681289495447,820,HTTP Request Get Attachment,200,,Thread Group Login And View Detail 1-90,text,true,,1684,220,58,58,https://jira-9.aandd.io/rest/api/2/attachment/10102,820,0,101
